Month,Market_Month,Duration,DurationDC,,,,,,,,,,,,,
January,1/1/2016,119.25,88,,,,,,,,,,,,,
February,2/1/2016,122.5,82,,,,,,,,,,,,,
March,3/1/2016,110,47,,,,,,,,,,,,,
April,4/1/2016,87.75,40,,,,,,,,,,,,,
May,5/1/2016,75.5,44,,,,,,,,,,,,,
June,6/1/2016,75.5,52,,,,,,,,,,,,,
July,7/1/2016,78.75,60,,,,,,,,,,,,,
August,8/1/2016,82,66,,,,,,,,,,,,,
September,9/1/2016,85.25,68,,,,,,,,,,,,,
October,10/1/2016,89.75,69,,,,,,,,,,,,,
November,11/1/2016,94.75,69,,,,,,,,,,,,,
December,12/1/2016,100,77,,,,,,,,,,,,,
